Date,Open,High,Low,Close,Volume
9/4/2024,210.59,222.22,210.57,219.41,80651800.00
9/5/2024,223.49,235.00,222.25,230.17,119355000.00
9/6/2024,232.60,233.60,210.51,210.73,112177000.00
9/9/2024,216.20,219.87,213.67,216.27,67443500.00
9/10/2024,220.07,226.40,218.64,226.17,78891100.00
9/11/2024,224.55,228.47,216.80,228.13,83548600.00
9/12/2024,224.66,231.45,223.83,229.81,72020000.00
9/13/2024,228.00,232.67,226.32,230.29,59515100.00
9/16/2024,229.30,229.96,223.53,226.78,54323000.00
9/17/2024,229.45,234.57,226.55,227.87,66761600.00
9/18/2024,230.09,235.68,226.88,227.20,78010200.00
9/19/2024,234.00,244.24,232.13,243.92,102694600.00
9/20/2024,241.52,243.99,235.92,238.25,99879100.00
9/23/2024,242.61,250.00,241.92,250.00,86927200.00
9/24/2024,254.08,257.19,249.05,254.27,88491000.00
9/25/2024,252.54,257.05,252.28,257.02,65034300.00
9/26/2024,260.60,261.75,251.53,254.22,67142200.00
9/27/2024,257.38,260.70,254.12,260.46,70988100.00
9/30/2024,259.04,264.86,255.77,261.63,80705700.00
10/1/2024,262.67,263.98,248.53,258.02,87397600.00
10/2/2024,247.55,251.16,241.50,249.02,93983900.00
10/3/2024,244.48,249.79,237.81,240.66,80729200.00
10/4/2024,246.69,250.96,244.58,250.08,86573200.00
10/7/2024,249.00,249.83,240.70,240.83,68113300.00
10/8/2024,243.56,246.21,240.56,244.50,56303200.00
10/9/2024,243.82,247.43,239.51,241.05,66289500.00
10/10/2024,241.81,242.79,232.34,238.77,83087100.00
10/11/2024,220.13,223.34,214.38,217.80,142628900.00
10/14/2024,220.13,221.91,213.74,219.16,86291900.00
10/15/2024,220.01,224.26,217.12,219.57,62988800.00
10/16/2024,221.40,222.82,218.93,221.33,49632800.00
10/17/2024,221.59,222.08,217.90,220.89,50791800.00
10/18/2024,220.71,222.28,219.23,220.70,49611900.00
10/21/2024,218.90,220.48,215.73,218.85,47329000.00
10/22/2024,217.31,218.22,215.26,217.97,43268700.00
10/23/2024,217.13,218.72,212.11,213.65,80938900.00
10/24/2024,244.68,262.12,242.65,260.48,204491900.00
10/25/2024,256.01,269.49,255.32,269.19,161611900.00
10/28/2024,270.00,273.54,262.24,262.51,107653600.00
10/29/2024,264.51,264.98,255.51,259.52,80521800.00
10/30/2024,258.04,263.35,255.82,257.55,53993600.00
10/31/2024,257.99,259.75,249.25,249.85,66575300.00
11/1/2024,252.04,254.00,246.63,248.98,57544800.00
11/4/2024,244.56,248.90,238.88,242.84,68802400.00
11/5/2024,247.34,255.28,246.21,251.44,69282500.00
11/6/2024,284.67,289.59,275.62,288.53,165228700.00
11/7/2024,288.89,299.75,285.52,296.91,117309200.00
11/8/2024,299.14,328.71,297.66,321.22,204782800.00
11/11/2024,346.30,358.64,336.00,350.00,210521600.00
11/12/2024,342.74,345.84,323.31,328.49,155726000.00
11/13/2024,335.85,344.60,322.50,330.24,125405600.00
11/14/2024,327.69,329.98,310.37,311.18,120726100.00
11/15/2024,310.57,324.68,309.22,320.72,114440300.00
11/18/2024,340.73,348.55,330.01,338.74,126547500.00
11/19/2024,335.76,347.38,332.75,346.00,88852500.00
11/20/2024,345.00,346.60,334.30,342.03,66340700.00
11/21/2024,343.81,347.99,335.28,339.64,58011700.00
11/22/2024,341.09,361.53,337.70,352.56,89140700.00
11/25/2024,360.14,361.93,338.20,338.59,95890900.00
11/26/2024,341.00,346.96,335.66,338.23,62295900.00
11/27/2024,341.80,342.55,326.59,332.89,57896400.00
11/29/2024,336.08,345.45,334.65,345.16,37167600.00
12/2/2024,352.38,360.00,351.15,357.09,77986500.00
12/3/2024,351.80,355.69,348.20,351.42,58267200.00
12/4/2024,353.00,358.10,348.60,357.93,50810900.00
12/5/2024,359.87,375.43,359.50,369.49,81403600.00
12/6/2024,377.42,389.49,370.80,389.22,81455800.00
12/9/2024,397.61,404.80,378.01,389.79,96359200.00
12/10/2024,392.68,409.73,390.85,400.99,97563600.00
12/11/2024,409.70,424.88,402.38,424.77,104287600.00
